3.795122e-02 + i -4.372437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.488983e-01 + i -1.715871e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.586553e-02 + i -2.979604e-02 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.036587e-02 + i -6.955649e-02 ; -6.275007e-02 + i 7.231732e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.586553e-02 + i -2.979604e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.519230e-02 + i 1.750861e-02 ; 6.036587e-02 + i -6.955649e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.275007e-02 + i 7.231732e-02 ; 1.817066e-02 + i -2.092796e-02 ; -1.148810e-02 + i 1.323964e-02 ; -1.148810e-02 + i 1.323964e-02 ; 2.764129e-02 + i -3.184253e-02 ; -3.588589e-02 + i 4.135726e-02 ; -3.588589e-02 + i 4.135726e-02 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; 2.040729e-01 + i -2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.040729e-01 + i -2.351870e-01 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.225173e-04 + i -1.280821e-04 ; 7.406515e-02 + i -8.535756e-02 ; 7.406515e-02 + i -8.535756e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.426514e-02 + i 8.560116e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.519230e-02 + i 1.750861e-02 ; -1.003662e-02 + i 1.157997e-02 ; -0.000000e+00 + i 0.000000e+00 ; -6.275007e-02 + i 7.231732e-02 ; -1.188171e-02 + i 1.370638e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.816303e-02 + i 5.551937e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.148810e-02 + i 1.323964e-02 ; -8.977793e-03 + i 1.035970e-02 ; 4.208802e-03 + i -4.850499e-03 ; -3.588589e-02 + i 4.135726e-02 ; -1.367609e-02 + i 1.577434e-02 ; 2.074878e-02 + i -2.391226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i 0.000000e+00 ; 2.040729e-01 + i -2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; 2.040729e-01 + i -2.351870e-01 ; 7.406515e-02 + i -8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; 7.406515e-02 + i -8.535756e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.426514e-02 + i 8.560116e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.816303e-02 + i 5.551937e-02 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.003662e-02 + i 1.157997e-02 ; -6.275007e-02 + i 7.231732e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.188171e-02 + i 1.370638e-02 ; -1.148810e-02 + i 1.323964e-02 ; 4.208802e-03 + i -4.850499e-03 ; -8.977793e-03 + i 1.035970e-02 ; -3.588589e-02 + i 4.135726e-02 ; 2.074878e-02 + i -2.391226e-02 ; -1.367609e-02 + i 1.577434e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; 2.040729e-01 + i -2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.040729e-01 + i -2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; 7.406515e-02 + i -8.535756e-02 ; 7.406515e-02 + i -8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; 
1.491882e-02 + i -1.718032e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.795122e-02 + i -4.372437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.210197e-02 + i -1.393400e-02 ; -5.024513e-03 + i 5.790577e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.586553e-02 + i -2.979604e-02 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.210197e-02 + i -1.393400e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.024513e-03 + i 5.790577e-03 ; 2.586553e-02 + i -2.979604e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.519230e-02 + i 1.750861e-02 ; 9.915532e-03 + i -1.141421e-02 ; -4.272355e-03 + i 4.923740e-03 ; -4.272355e-03 + i 4.923740e-03 ; 1.817066e-02 + i -2.092796e-02 ; -1.148810e-02 + i 1.323964e-02 ; -1.148810e-02 + i 1.323964e-02 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -2.040729e-01 + i 2.351870e-01 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.225173e-04 + i -1.280821e-04 ; -7.406515e-02 + i 8.535756e-02 ; -7.406515e-02 + i 8.535756e-02 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -7.369204e-03 + i 8.505848e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.024513e-03 + i 5.790577e-03 ; -5.289947e-03 + i 6.109575e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.519230e-02 + i 1.750861e-02 ; -1.003662e-02 + i 1.157997e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.637167e-03 + i 7.662198e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.272355e-03 + i 4.923740e-03 ; -4.872852e-03 + i 5.628885e-03 ; 1.145544e-03 + i -1.320200e-03 ; -1.148810e-02 + i 1.323964e-02 ; -8.977793e-03 + i 1.035970e-02 ; 4.208802e-03 + i -4.850499e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.406515e-02 + i 8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; 7.406515e-02 + i -8.535756e-02 ; -0.000000e+00 + i 0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; 2.040729e-01 + i -2.351870e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.369204e-03 + i 8.505848e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.637167e-03 + i 7.662198e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -5.024513e-03 + i 5.790577e-03 ; -0.000000e+00 + i 0.000000e+00 ; -5.289947e-03 + i 6.109575e-03 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.003662e-02 + i 1.157997e-02 ; -4.272355e-03 + i 4.923740e-03 ; 1.145544e-03 + i -1.320200e-03 ; -4.872852e-03 + i 5.628885e-03 ; -1.148810e-02 + i 1.323964e-02 ; 4.208802e-03 + i -4.850499e-03 ; -8.977793e-03 + i 1.035970e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -2.040729e-01 + i 2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -7.406515e-02 + i 8.535756e-02 ; 7.406515e-02 + i -8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; -0.000000e+00 + i 0.000000e+00 ; 2.040729e-01 + i -2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; 
2.586553e-02 + i -2.979604e-02 ; 1.519230e-02 + i -1.750861e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.036587e-02 + i -6.955649e-02 ; 6.275007e-02 + i -7.231732e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.795122e-02 + i -4.372437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.488983e-01 + i -1.715871e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817066e-02 + i -2.092796e-02 ; 1.148810e-02 + i -1.323964e-02 ; -1.148810e-02 + i 1.323964e-02 ; 2.764129e-02 + i -3.184253e-02 ; 3.588589e-02 + i -4.135726e-02 ; -3.588589e-02 + i 4.135726e-02 ; 2.586553e-02 + i -2.979604e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.519230e-02 + i 1.750861e-02 ; 6.036587e-02 + i -6.955649e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.275007e-02 + i 7.231732e-02 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -2.040729e-01 + i 2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.225173e-04 + i -1.280821e-04 ; -7.406515e-02 + i 8.535756e-02 ; 7.406515e-02 + i -8.535756e-02 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.040729e-01 + i -2.351870e-01 ; 
1.519230e-02 + i -1.750861e-02 ; -1.003662e-02 + i 1.157997e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.275007e-02 + i -7.231732e-02 ; -1.188171e-02 + i 1.370638e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.426514e-02 + i 8.560116e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.148810e-02 + i -1.323964e-02 ; -8.977793e-03 + i 1.035970e-02 ; -4.208802e-03 + i 4.850499e-03 ; 3.588589e-02 + i -4.135726e-02 ; -1.367609e-02 + i 1.577434e-02 ; -2.074878e-02 + i 2.391226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.816303e-02 + i 5.551937e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -2.040729e-01 + i 2.351870e-01 ; -7.406515e-02 + i 8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; -7.406515e-02 + i 8.535756e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.816303e-02 + i 5.551937e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.426514e-02 + i 8.560116e-02 ; -1.148810e-02 + i 1.323964e-02 ; -4.208802e-03 + i 4.850499e-03 ; -8.977793e-03 + i 1.035970e-02 ; -3.588589e-02 + i 4.135726e-02 ; -2.074878e-02 + i 2.391226e-02 ; -1.367609e-02 + i 1.577434e-02 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.003662e-02 + i 1.157997e-02 ; -6.275007e-02 + i 7.231732e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.188171e-02 + i 1.370638e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i 0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; 7.406515e-02 + i -8.535756e-02 ; -7.406515e-02 + i 8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; 2.040729e-01 + i -2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; 
1.210197e-02 + i -1.393400e-02 ; 5.024513e-03 + i -5.790577e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.586553e-02 + i -2.979604e-02 ; 1.519230e-02 + i -1.750861e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.491882e-02 + i -1.718032e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.795122e-02 + i -4.372437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.915532e-03 + i -1.141421e-02 ; 4.272355e-03 + i -4.923740e-03 ; -4.272355e-03 + i 4.923740e-03 ; 1.817066e-02 + i -2.092796e-02 ; 1.148810e-02 + i -1.323964e-02 ; -1.148810e-02 + i 1.323964e-02 ; 1.210197e-02 + i -1.393400e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.024513e-03 + i 5.790577e-03 ; 2.586553e-02 + i -2.979604e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.519230e-02 + i 1.750861e-02 ; 6.817294e-02 + i -7.855387e-02 ; 2.040729e-01 + i -2.351870e-01 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.225173e-04 + i -1.280821e-04 ; 7.406515e-02 + i -8.535756e-02 ; -7.406515e-02 + i 8.535756e-02 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
5.024513e-03 + i -5.790577e-03 ; -5.289947e-03 + i 6.109575e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.519230e-02 + i -1.750861e-02 ; -1.003662e-02 + i 1.157997e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.369204e-03 + i 8.505848e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.272355e-03 + i -4.923740e-03 ; -4.872852e-03 + i 5.628885e-03 ; -1.145544e-03 + i 1.320200e-03 ; 1.148810e-02 + i -1.323964e-02 ; -8.977793e-03 + i 1.035970e-02 ; -4.208802e-03 + i 4.850499e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.637167e-03 + i 7.662198e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.040729e-01 + i -2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.406515e-02 + i -8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; -7.406515e-02 + i 8.535756e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -2.040729e-01 + i 2.351870e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.637167e-03 + i 7.662198e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.560250e-02 + i 1.799445e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.369204e-03 + i 8.505848e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.885563e-02 + i 2.174358e-02 ; -4.272355e-03 + i 4.923740e-03 ; -1.145544e-03 + i 1.320200e-03 ; -4.872852e-03 + i 5.628885e-03 ; -1.148810e-02 + i 1.323964e-02 ; -4.208802e-03 + i 4.850499e-03 ; -8.977793e-03 + i 1.035970e-02 ; -5.024513e-03 + i 5.790577e-03 ; -0.000000e+00 + i 0.000000e+00 ; -5.289947e-03 + i 6.109575e-03 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.003662e-02 + i 1.157997e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.109465e-01 + i 1.856574e+00 ; -7.406515e-02 + i 8.535756e-02 ; -7.406515e-02 + i 8.535756e-02 ; 1.225173e-04 + i -1.280821e-04 ; -0.000000e+00 + i 0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; 6.817294e-02 + i -7.855387e-02 ; -2.040729e-01 + i 2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; 
2.586553e-02 + i -2.979604e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.519230e-02 + i -1.750861e-02 ; 6.036587e-02 + i -6.955649e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.275007e-02 + i -7.231732e-02 ; 1.817066e-02 + i -2.092796e-02 ; -1.148810e-02 + i 1.323964e-02 ; 1.148810e-02 + i -1.323964e-02 ; 2.764129e-02 + i -3.184253e-02 ; -3.588589e-02 + i 4.135726e-02 ; 3.588589e-02 + i -4.135726e-02 ; 3.795122e-02 + i -4.372437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.488983e-01 + i -1.715871e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.586553e-02 + i -2.979604e-02 ; -1.519230e-02 + i 1.750861e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.036587e-02 + i -6.955649e-02 ; -6.275007e-02 + i 7.231732e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.040729e-01 + i 2.351870e-01 ; -1.358999e-01 + i 1.566331e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.225173e-04 + i -1.280821e-04 ; 7.406515e-02 + i -8.535756e-02 ; -7.406515e-02 + i 8.535756e-02 ; -6.109465e-01 + i 1.856574e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.697139e-01 + i -8.870559e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -3.845455e-01 + i 4.431887e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.817294e-02 + i -7.855387e-02 ; 2.040729e-01 + i -2.351870e-01 ; -0.000000e+00 + i 0.000000e+00 ; 
