2.032165e-02 + i -4.246490e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.985252e-02 + i -1.668666e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.383945e-02 + i -2.891904e-02 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.234487e-02 + i -6.758982e-02 ; -3.367130e-02 + i 7.036293e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.383945e-02 + i -2.891904e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.148203e-03 + i 1.702730e-02 ; 3.234487e-02 + i -6.758982e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.367130e-02 + i 7.036293e-02 ; 9.713018e-03 + i -2.029603e-02 ; -6.160840e-03 + i 1.287431e-02 ; -6.160840e-03 + i 1.287431e-02 ; 1.478816e-02 + i -3.090156e-02 ; -1.925408e-02 + i 4.023527e-02 ; -1.925408e-02 + i 4.023527e-02 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; 1.095276e-01 + i -2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.095276e-01 + i -2.288798e-01 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.187122e-05 + i -2.354151e-05 ; 3.974712e-02 + i -8.305956e-02 ; 3.974712e-02 + i -8.305956e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.990843e-02 + i 8.339792e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.148203e-03 + i 1.702730e-02 ; -5.416225e-03 + i 1.131955e-02 ; -0.000000e+00 + i 0.000000e+00 ; -3.367130e-02 + i 7.036293e-02 ; -6.422733e-03 + i 1.342285e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.589106e-02 + i 5.410583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.160840e-03 + i 1.287431e-02 ; -4.846158e-03 + i 1.012828e-02 ; 2.257096e-03 + i -4.716655e-03 ; -1.925408e-02 + i 4.023527e-02 ; -7.380112e-03 + i 1.542349e-02 ; 1.113247e-02 + i -2.326354e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i 0.000000e+00 ; 1.095276e-01 + i -2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; 1.095276e-01 + i -2.288798e-01 ; 3.974712e-02 + i -8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; 3.974712e-02 + i -8.305956e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.990843e-02 + i 8.339792e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.589106e-02 + i 5.410583e-02 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i 0.000000e+00 ; -5.416225e-03 + i 1.131955e-02 ; -3.367130e-02 + i 7.036293e-02 ; -0.000000e+00 + i 0.000000e+00 ; -6.422733e-03 + i 1.342285e-02 ; -6.160840e-03 + i 1.287431e-02 ; 2.257096e-03 + i -4.716655e-03 ; -4.846158e-03 + i 1.012828e-02 ; -1.925408e-02 + i 4.023527e-02 ; 1.113247e-02 + i -2.326354e-02 ; -7.380112e-03 + i 1.542349e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; 1.095276e-01 + i -2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.095276e-01 + i -2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; 3.974712e-02 + i -8.305956e-02 ; 3.974712e-02 + i -8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; 
7.970374e-03 + i -1.665443e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.032165e-02 + i -4.246490e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.460596e-03 + i -1.349944e-02 ; -2.692968e-03 + i 5.627496e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.383945e-02 + i -2.891904e-02 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.460596e-03 + i -1.349944e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.692968e-03 + i 5.627496e-03 ; 1.383945e-02 + i -2.891904e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.148203e-03 + i 1.702730e-02 ; 5.288908e-03 + i -1.105097e-02 ; -2.289591e-03 + i 4.784558e-03 ; -2.289591e-03 + i 4.784558e-03 ; 9.713018e-03 + i -2.029603e-02 ; -6.160840e-03 + i 1.287431e-02 ; -6.160840e-03 + i 1.287431e-02 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -1.095276e-01 + i 2.288798e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.187122e-05 + i -2.354151e-05 ; -3.974712e-02 + i 8.305956e-02 ; -3.974712e-02 + i 8.305956e-02 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -3.976528e-03 + i 8.311017e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.692968e-03 + i 5.627496e-03 ; -2.860877e-03 + i 5.979642e-03 ; -0.000000e+00 + i 0.000000e+00 ; -8.148203e-03 + i 1.702730e-02 ; -5.416225e-03 + i 1.131955e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.582941e-03 + i 7.488539e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.289591e-03 + i 4.784558e-03 ; -2.636310e-03 + i 5.510364e-03 ; 6.139066e-04 + i -1.282881e-03 ; -6.160840e-03 + i 1.287431e-02 ; -4.846158e-03 + i 1.012828e-02 ; 2.257096e-03 + i -4.716655e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -3.974712e-02 + i 8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; 3.974712e-02 + i -8.305956e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; 1.095276e-01 + i -2.288798e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.976528e-03 + i 8.311017e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.582941e-03 + i 7.488539e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -2.692968e-03 + i 5.627496e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.860877e-03 + i 5.979642e-03 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i 0.000000e+00 ; -5.416225e-03 + i 1.131955e-02 ; -2.289591e-03 + i 4.784558e-03 ; 6.139066e-04 + i -1.282881e-03 ; -2.636310e-03 + i 5.510364e-03 ; -6.160840e-03 + i 1.287431e-02 ; 2.257096e-03 + i -4.716655e-03 ; -4.846158e-03 + i 1.012828e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -1.095276e-01 + i 2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -3.974712e-02 + i 8.305956e-02 ; 3.974712e-02 + i -8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; -0.000000e+00 + i 0.000000e+00 ; 1.095276e-01 + i -2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; 
1.383945e-02 + i -2.891904e-02 ; 8.148203e-03 + i -1.702730e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.234487e-02 + i -6.758982e-02 ; 3.367130e-02 + i -7.036293e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.032165e-02 + i -4.246490e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.985252e-02 + i -1.668666e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.713018e-03 + i -2.029603e-02 ; 6.160840e-03 + i -1.287431e-02 ; -6.160840e-03 + i 1.287431e-02 ; 1.478816e-02 + i -3.090156e-02 ; 1.925408e-02 + i -4.023527e-02 ; -1.925408e-02 + i 4.023527e-02 ; 1.383945e-02 + i -2.891904e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.148203e-03 + i 1.702730e-02 ; 3.234487e-02 + i -6.758982e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.367130e-02 + i 7.036293e-02 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -1.095276e-01 + i 2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.187122e-05 + i -2.354151e-05 ; -3.974712e-02 + i 8.305956e-02 ; 3.974712e-02 + i -8.305956e-02 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.095276e-01 + i -2.288798e-01 ; 
8.148203e-03 + i -1.702730e-02 ; -5.416225e-03 + i 1.131955e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.367130e-02 + i -7.036293e-02 ; -6.422733e-03 + i 1.342285e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.990843e-02 + i 8.339792e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.160840e-03 + i -1.287431e-02 ; -4.846158e-03 + i 1.012828e-02 ; -2.257096e-03 + i 4.716655e-03 ; 1.925408e-02 + i -4.023527e-02 ; -7.380112e-03 + i 1.542349e-02 ; -1.113247e-02 + i 2.326354e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.589106e-02 + i 5.410583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -1.095276e-01 + i 2.288798e-01 ; -3.974712e-02 + i 8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; -3.974712e-02 + i 8.305956e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.589106e-02 + i 5.410583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.990843e-02 + i 8.339792e-02 ; -6.160840e-03 + i 1.287431e-02 ; -2.257096e-03 + i 4.716655e-03 ; -4.846158e-03 + i 1.012828e-02 ; -1.925408e-02 + i 4.023527e-02 ; -1.113247e-02 + i 2.326354e-02 ; -7.380112e-03 + i 1.542349e-02 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i 0.000000e+00 ; -5.416225e-03 + i 1.131955e-02 ; -3.367130e-02 + i 7.036293e-02 ; -0.000000e+00 + i 0.000000e+00 ; -6.422733e-03 + i 1.342285e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i 0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; 3.974712e-02 + i -8.305956e-02 ; -3.974712e-02 + i 8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; 1.095276e-01 + i -2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; 
6.460596e-03 + i -1.349944e-02 ; 2.692968e-03 + i -5.627496e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.383945e-02 + i -2.891904e-02 ; 8.148203e-03 + i -1.702730e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.970374e-03 + i -1.665443e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.032165e-02 + i -4.246490e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.288908e-03 + i -1.105097e-02 ; 2.289591e-03 + i -4.784558e-03 ; -2.289591e-03 + i 4.784558e-03 ; 9.713018e-03 + i -2.029603e-02 ; 6.160840e-03 + i -1.287431e-02 ; -6.160840e-03 + i 1.287431e-02 ; 6.460596e-03 + i -1.349944e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.692968e-03 + i 5.627496e-03 ; 1.383945e-02 + i -2.891904e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.148203e-03 + i 1.702730e-02 ; 3.652362e-02 + i -7.632215e-02 ; 1.095276e-01 + i -2.288798e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.187122e-05 + i -2.354151e-05 ; 3.974712e-02 + i -8.305956e-02 ; -3.974712e-02 + i 8.305956e-02 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
2.692968e-03 + i -5.627496e-03 ; -2.860877e-03 + i 5.979642e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.148203e-03 + i -1.702730e-02 ; -5.416225e-03 + i 1.131955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.976528e-03 + i 8.311017e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.289591e-03 + i -4.784558e-03 ; -2.636310e-03 + i 5.510364e-03 ; -6.139066e-04 + i 1.282881e-03 ; 6.160840e-03 + i -1.287431e-02 ; -4.846158e-03 + i 1.012828e-02 ; -2.257096e-03 + i 4.716655e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.582941e-03 + i 7.488539e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.095276e-01 + i -2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.974712e-02 + i -8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; -3.974712e-02 + i 8.305956e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -1.095276e-01 + i 2.288798e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.582941e-03 + i 7.488539e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.401415e-03 + i 1.755771e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.976528e-03 + i 8.311017e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.014926e-02 + i 2.121018e-02 ; -2.289591e-03 + i 4.784558e-03 ; -6.139066e-04 + i 1.282881e-03 ; -2.636310e-03 + i 5.510364e-03 ; -6.160840e-03 + i 1.287431e-02 ; -2.257096e-03 + i 4.716655e-03 ; -4.846158e-03 + i 1.012828e-02 ; -2.692968e-03 + i 5.627496e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.860877e-03 + i 5.979642e-03 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i 0.000000e+00 ; -5.416225e-03 + i 1.131955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.349906e-01 + i 1.807612e+00 ; -3.974712e-02 + i 8.305956e-02 ; -3.974712e-02 + i 8.305956e-02 ; 1.187122e-05 + i -2.354151e-05 ; -0.000000e+00 + i 0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; 3.652362e-02 + i -7.632215e-02 ; -1.095276e-01 + i 2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; 
1.383945e-02 + i -2.891904e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.148203e-03 + i -1.702730e-02 ; 3.234487e-02 + i -6.758982e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.367130e-02 + i -7.036293e-02 ; 9.713018e-03 + i -2.029603e-02 ; -6.160840e-03 + i 1.287431e-02 ; 6.160840e-03 + i -1.287431e-02 ; 1.478816e-02 + i -3.090156e-02 ; -1.925408e-02 + i 4.023527e-02 ; 1.925408e-02 + i -4.023527e-02 ; 2.032165e-02 + i -4.246490e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.985252e-02 + i -1.668666e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.383945e-02 + i -2.891904e-02 ; -8.148203e-03 + i 1.702730e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.234487e-02 + i -6.758982e-02 ; -3.367130e-02 + i 7.036293e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.095276e-01 + i 2.288798e-01 ; -7.300394e-02 + i 1.525576e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.187122e-05 + i -2.354151e-05 ; 3.974712e-02 + i -8.305956e-02 ; -3.974712e-02 + i 8.305956e-02 ; 1.349906e-01 + i 1.807612e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.130646e-01 + i -8.631800e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -2.065020e-01 + i 4.315286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.652362e-02 + i -7.632215e-02 ; 1.095276e-01 + i -2.288798e-01 ; -0.000000e+00 + i 0.000000e+00 ; 
